"","Estimate","lwr","upr","p_value","std_error","model"
"SF - LBF5",-0.619355768327734,-1.24384082833472,0.00512929167924836,0.0532368575619528,0.245203747722713,"FD_q2_large_PGM"
"LF - UF6",-0.155934955830039,-0.998811894109679,0.686941982449602,0.963473818042842,0.332056389612506,"PD_q0_large_PGM"
"LBF - UF6",-0.727394272854282,-1.61215072388692,0.15736217817836,0.147262480163731,0.348555073076163,"PD_q0_large_PGM"
"SF - UF6",-1.44391445127898,-2.44504768185461,-0.442781220703343,0.00132800390589394,0.394402398462298,"PD_q0_large_PGM"
"LBF - LF6",-0.571459317024243,-1.02305477726415,-0.119863856784339,0.00662723208968996,0.177908721050937,"PD_q0_large_PGM"
"SF - LF6",-1.28797949544894,-1.93145499226826,-0.644503998629621,1.32614780135043e-06,0.253501004208335,"PD_q0_large_PGM"
"SF - LBF6",-0.716520178424695,-1.38648408222365,-0.0465562746257447,0.0308462219656894,0.263936269890412,"PD_q0_large_PGM"
"LF - UF7",0.152863060041706,-0.788944288771736,1.09467040885515,0.974851342443972,0.370750880103131,"PD_q1_large_PGM"
"LBF - UF7",-0.523879809722919,-1.50965861368873,0.461898994242888,0.514907541380331,0.388060636411249,"PD_q1_large_PGM"
"SF - UF7",-0.587795244257116,-1.70699175919641,0.531401270682181,0.525099539187538,0.440581710734024,"PD_q1_large_PGM"
"LBF - LF7",-0.676742869764626,-1.19014231912515,-0.163343420404105,0.00426887004177967,0.202104281660877,"PD_q1_large_PGM"
"SF - LF7",-0.740658304298823,-1.4704283801994,-0.0108882283982477,0.0451686752429779,0.28728051257398,"PD_q1_large_PGM"
"SF - LBF7",-0.0639154345341971,-0.821878349370391,0.694047480301997,0.996298111212362,0.298378875589681,"PD_q1_large_PGM"
"LF - UF8",0.217985409761225,-0.719733727114319,1.15570454663677,0.93126159263572,0.368625416083764,"PD_q2_large_PGM"
"LBF - UF8",-0.071314716890163,-1.04480171732223,0.902172283541907,0.997569135748569,0.382686069287327,"PD_q2_large_PGM"
"SF - UF8",1.07269619207448,-0.0422649930776628,2.18765737722662,0.0638541888062237,0.438300781792089,"PD_q2_large_PGM"
"LBF - LF8",-0.289300126651388,-0.824303454332815,0.24570320103004,0.500301592333982,0.210314385744416,"PD_q2_large_PGM"
"SF - LF8",0.854710782313254,0.0996922578892298,1.60972930673728,0.0197886273518371,0.296804242093328,"PD_q2_large_PGM"
"SF - LBF8",1.14401090896464,0.365298288853383,1.9227235290759,0.000946729637293253,0.306118593841056,"PD_q2_large_PGM"
"LF - UF9",0.290828271942247,-0.239771733089896,0.821428276974389,0.492835105952806,0.207125419411858,"TD_q0_large_STM"
"LBF - UF9",-0.303458175044775,-0.876568834897297,0.269652484807747,0.523034944654234,0.223719910790746,"TD_q0_large_STM"
"SF - UF9",-1.54241860446266,-2.09349982945531,-0.99133737947001,4.01345623401994e-12,0.215120483931561,"TD_q0_large_STM"
"LBF - LF9",-0.594286446987022,-1.045444299316,-0.143128594658044,0.00381106657795771,0.176114320577385,"TD_q0_large_STM"
"SF - LF9",-1.83324687640491,-2.26392374836488,-1.40257000444493,0,0.168119349584802,"TD_q0_large_STM"
"SF - LBF9",-1.23896042941788,-1.6763993957288,-0.801521463106969,9.53126466640697e-13,0.17075900585178,"TD_q0_large_STM"
"LF - UF10",0.354376807176215,-0.15457291362276,0.86332652797519,0.277677342282196,0.198278623760677,"TD_q1_large_STM"
"LBF - UF10",-0.418042628956229,-0.94844723356461,0.112361975652151,0.178098973900375,0.206637101348593,"TD_q1_large_STM"
"SF - UF10",-1.56761472146701,-2.06890642630333,-1.0663230166307,2.44249065417534e-15,0.195295183935954,"TD_q1_large_STM"
"LBF - LF10",-0.772419436132445,-1.23120109017748,-0.313637782087407,7.41572816318481e-05,0.178733952005894,"TD_q1_large_STM"
"SF - LF10",-1.92199152864323,-2.35012799995373,-1.49385505733272,0,0.166795081800879,"TD_q1_large_STM"
"SF - LBF10",-1.14957209251078,-1.58761557235643,-0.711528612665139,4.54174475805758e-11,0.170654692952348,"TD_q1_large_STM"
"LF - UF11",0.33746404323961,-0.216625695721555,0.891553782200774,0.39855160578234,0.21594961538911,"TD_q2_large_STM"
"LBF - UF11",-0.44603285943947,-1.01422946056248,0.122163741683538,0.18168404058834,0.221447590254893,"TD_q2_large_STM"
"SF - UF11",-1.45844578279747,-1.99160338326156,-0.925288182333381,5.70787861420285e-12,0.207791573577706,"TD_q2_large_STM"
"LBF - LF11",-0.78349690267908,-1.29201271579888,-0.274981089559281,0.000488510959514188,0.198187742058507,"TD_q2_large_STM"
"SF - LF11",-1.79590982603708,-2.26494925039049,-1.32687040168367,0,0.182802308307224,"TD_q2_large_STM"
"SF - LBF11",-1.012412923358,-1.49803615210995,-0.526789694606054,3.61434781437353e-07,0.189265640741906,"TD_q2_large_STM"
"LF - UF12",0.184086322540492,-0.413060721414936,0.78123336649592,0.857064803718789,0.232920931818972,"FD_q0_large_STM"
"LBF - UF12",-0.189512953210047,-0.834916957200177,0.455891050780082,0.873865202094151,0.251743860294981,"FD_q0_large_STM"
"SF - UF12",-1.49950639375069,-2.12030247116705,-0.87871031633433,2.42324305066433e-09,0.242145384934993,"FD_q0_large_STM"
"LBF - LF12",-0.373599275750539,-0.880715073452176,0.133516521951097,0.229717653386836,0.197803682252847,"FD_q0_large_STM"
"SF - LF12",-1.68359271629118,-2.16786909310934,-1.19931633947301,0,0.188895023576172,"FD_q0_large_STM"
"SF - LBF12",-1.30999344054064,-1.80187263279793,-0.818114248283345,5.86173332095541e-11,0.191860549194117,"FD_q0_large_STM"
"LF - UF13",0.257332307289808,-0.311768709241455,0.82643332382107,0.650193811535132,0.221856206260378,"FD_q1_large_STM"
"LBF - UF13",-0.300252467039533,-0.898013827986459,0.297508893907394,0.568045097508217,0.233029047456358,"FD_q1_large_STM"
"SF - UF13",-1.51659533134005,-2.08361676322656,-0.949573899453546,1.65950586605845e-11,0.221045508780527,"FD_q1_large_STM"
"LBF - LF13",-0.55758477432934,-1.06500339654494,-0.0501661521137392,0.0243654582361442,0.197810172957997,"FD_q1_large_STM"
"SF - LF13",-1.77392763862986,-2.24997684045172,-1.29787843680801,0,0.185581235741257,"FD_q1_large_STM"
"SF - LBF13",-1.21634286430052,-1.70181940197125,-0.730866326629792,4.20520396282598e-10,0.189256352997807,"FD_q1_large_STM"
"LF - UF14",0.261551588519695,-0.325718314434989,0.84882149147438,0.661716923364497,0.228918384825645,"FD_q2_large_STM"
"LBF - UF14",-0.327311826612862,-0.930337030292846,0.275713377067123,0.502442770113084,0.235059816518862,"FD_q2_large_STM"
"SF - UF14",-1.41341027904651,-1.97957226133737,-0.84724829675566,3.87560206149828e-10,0.220690496624528,"FD_q2_large_STM"
"LBF - LF14",-0.588863415132557,-1.12718838540563,-0.0505384448594812,0.0253188923856282,0.209839602006192,"FD_q2_large_STM"
"SF - LF14",-1.67496186756621,-2.17199409201711,-1.1779296431153,0,0.193743649138407,"FD_q2_large_STM"
"SF - LBF14",-1.08609845243365,-1.60002866134196,-0.572168243525342,5.90041645986972e-07,0.200330500072425,"FD_q2_large_STM"
"LF - UF15",0.26435732205254,-0.311969270109788,0.840683914214868,0.639400701485153,0.224993971835504,"PD_q0_large_STM"
"LBF - UF15",-0.261120323068202,-0.882196088820783,0.359955442684379,0.700663481515749,0.242463744078101,"PD_q0_large_STM"
"SF - UF15",-1.46342409038095,-2.05994204561017,-0.866906135151736,1.05882125289725e-09,0.232876542299843,"PD_q0_large_STM"
"LBF - LF15",-0.525477645120743,-1.01764973566659,-0.0333055545748924,0.03126465938988,0.192140628220925,"PD_q0_large_STM"
"SF - LF15",-1.72778141243349,-2.19697847666658,-1.2585843482004,0,0.183171334606105,"PD_q0_large_STM"
"SF - LBF15",-1.20230376731275,-1.67888179391449,-0.725725740711011,2.42228792579624e-10,0.18605281198694,"PD_q0_large_STM"
