"","stem","region","diversity","model","pairs","Df","SumsOfSqs","F.Model","R2","OmegaSq_degrad","OmegaSq_catchment","p.value","p.adjusted","sig","q_value"
"60","small","PGM","TD","small_PGM_TD_q0","UF vs SF",1,2.69694939096906,11.2361250658123,0.29386149999438,0.288696756413367,0.1127810964303,0.001,0.006,"*","q0"
"61","small","PGM","TD","small_PGM_TD_q1","LF vs LBF",1,1.73231010758657,7.05122787858009,0.0757779132993391,0.0807792227325901,0.189050791473501,0.001,0.006,"*","q1"
"62","small","PGM","TD","small_PGM_TD_q1","LBF vs SF",1,1.73675927867954,6.44345606270611,0.099986196526089,0.103121562512731,0.179197461619204,0.001,0.006,"*","q1"
"63","small","PGM","TD","small_PGM_TD_q1","UF vs LBF",1,3.43564571358052,14.5429831487851,0.209122221830359,0.234050483243726,0.204496894840819,0.001,0.006,"*","q1"
"64","small","PGM","TD","small_PGM_TD_q1","LF vs SF",1,2.88299036056986,12.0286164043348,0.171767157798511,0.185791210741629,0.176258714786831,0.001,0.006,"*","q1"
"65","small","PGM","TD","small_PGM_TD_q1","UF vs LF",1,1.84124662839318,8.99260576874427,0.140525700754266,0.155258674243526,0.210422132058303,0.001,0.006,"*","q1"
"66","small","PGM","TD","small_PGM_TD_q1","UF vs SF",1,3.26354893502067,15.2806427502276,0.36140989720752,0.377157188414612,0.166563122982149,0.001,0.006,"*","q1"
"67","small","PGM","TD","small_PGM_TD_q2","LF vs LBF",1,2.27545214771547,7.95507546862226,0.0846689274522373,0.0931229981551334,0.20361734779331,0.001,0.006,"*","q2"
"68","small","PGM","TD","small_PGM_TD_q2","LBF vs SF",1,1.73272142237169,5.53489891052141,0.0871158844262334,0.0893804583130184,0.19128474658603,0.001,0.006,"*","q2"
"69","small","PGM","TD","small_PGM_TD_q2","UF vs LBF",1,3.92048918878938,14.4998013427456,0.208630831493148,0.242748760142688,0.241038423723725,0.001,0.006,"*","q2"
"70","small","PGM","TD","small_PGM_TD_q2","LF vs SF",1,2.80679636043647,10.2193504822254,0.149801345365903,0.157430913677133,0.158513134656765,0.001,0.006,"*","q2"
"71","small","PGM","TD","small_PGM_TD_q2","UF vs LF",1,2.00422855535025,8.71824461744482,0.136824934048135,0.14921743922472,0.201419771423986,0.001,0.006,"*","q2"
"72","small","PGM","TD","small_PGM_TD_q2","UF vs SF",1,3.39243499945233,14.7692927537638,0.35359211947473,0.378538149357565,0.197127117652453,0.001,0.006,"*","q2"
"73","small","PGM","FD","small_PGM_FD_q0","LF vs LBF",1,0.0104241008929948,5.75282360623738,0.0626991451611992,0.0603053169563101,0.131925256135065,0.001,0.006,"*","q0"
"74","small","PGM","FD","small_PGM_FD_q0","LBF vs SF",1,0.0120272530916531,5.17686753138263,0.0819424535224235,0.0776015383522396,0.139880733535012,0.001,0.006,"*","q0"
"75","small","PGM","FD","small_PGM_FD_q0","UF vs LBF",1,0.0164098368186179,8.19959312700033,0.129741232835521,0.12932874207166,0.129764472535339,0.001,0.006,"*","q0"
"76","small","PGM","FD","small_PGM_FD_q0","LF vs SF",1,0.0206951807071906,12.792431052883,0.180703372699926,0.18922788358018,0.143162883286319,0.001,0.006,"*","q0"
"77","small","PGM","FD","small_PGM_FD_q0","UF vs LF",1,0.00831040908321739,6.60964129931354,0.107282580452017,0.104850531552019,0.13475978403808,0.001,0.006,"*","q0"
"78","small","PGM","FD","small_PGM_FD_q0","UF vs SF",1,0.0177622799905639,9.97669292962215,0.269810308580349,0.279476076790735,0.174921764282347,0.001,0.006,"*","q0"
"79","small","PGM","FD","small_PGM_FD_q1","LF vs LBF",1,0.114655834745167,8.99804240277418,0.0947181876087945,0.0978789334193925,0.144075505611264,0.001,0.006,"*","q1"
"80","small","PGM","FD","small_PGM_FD_q1","LBF vs SF",1,0.0616798968630361,3.02771171936887,0.0496120800545753,0.0394388485120123,0.122138320306235,0.064,0.384,"","q1"
"81","small","PGM","FD","small_PGM_FD_q1","UF vs LBF",1,0.0957330775337921,5.34423006274682,0.0885624036828345,0.0799278824611352,0.098834244116224,0.02,0.12,"","q1"
"82","small","PGM","FD","small_PGM_FD_q1","LF vs SF",1,0.0992672700077066,17.7024383016307,0.23384237943693,0.352540894837694,0.46579150560019,0.001,0.006,"*","q1"
"83","small","PGM","FD","small_PGM_FD_q1","UF vs LF",1,0.0258722250143476,11.0386190698128,0.167153996029858,0.2213687050766,0.350249140382786,0.001,0.006,"*","q1"
