"Region","Plot","Order.q","Size","qD","qAUC","qPD","Degrad"
"PGM","152_1",1,"small",13.2967076889179,3.36259963290252,4.90468284638709,"Secondary forest"
"PGM","152_1",2,"small",8.7524861878453,2.727663887655,2.56449466013936,"Secondary forest"
"PGM","152_2",0,"small",28,5.57889174227472,13.3879225710988,"Secondary forest"
"PGM","152_2",1,"small",14.0548198948033,3.68945804976407,4.55412103679736,"Secondary forest"
"PGM","152_2",2,"small",8.41147741147741,2.86169200820663,2.25816990328509,"Secondary forest"
"PGM","152_3",0,"small",34,6.46063692315535,14.8406656391392,"Secondary forest"
"PGM","152_3",1,"small",20.294279446179,4.41307817183769,5.53806907338668,"Secondary forest"
"PGM","152_3",2,"small",12.6197183098592,3.34189070091936,2.5743714023239,"Secondary forest"
"PGM","152_4",0,"small",42,7.66205263979951,17.771926528956,"Secondary forest"
"PGM","152_4",1,"small",22.161689346381,5.20153731606979,7.45827564968615,"Secondary forest"
"PGM","152_4",2,"small",11.900826446281,3.88913766581365,4.23908479825729,"Secondary forest"
"PGM","152_6",0,"small",36,5.87402721793673,16.1444928265166,"Secondary forest"
"PGM","152_6",1,"small",22.6633320726448,4.47343130282027,6.04955515618731,"Secondary forest"
"PGM","152_6",2,"small",16.8521303258145,3.91338565659308,2.76321953328771,"Secondary forest"
"PGM","152_7",0,"small",19,4.70376189406424,8.80585355503424,"Secondary forest"
"PGM","152_7",1,"small",10.9578085896132,3.36911835705764,4.03165199583506,"Secondary forest"
"PGM","152_7",2,"small",7.68637413394919,2.81432474286976,2.25046610665634,"Secondary forest"
"PGM","152_8",0,"small",41,6.47648495832452,16.2073104203922,"Secondary forest"
"PGM","152_8",1,"small",29.6691675599906,5.29250744782391,6.48779211522634,"Secondary forest"
"PGM","152_8",2,"small",23.6381322957198,4.67516912711173,2.73607222789848,"Secondary forest"
"PGM","202_1",0,"small",70,9.86840268930451,24.7628202706873,"Logged-and-burned"
"PGM","202_1",1,"small",47.2810772086321,7.22705606034391,6.79721730118165,"Logged-and-burned"
"PGM","202_1",2,"small",30.9727047146402,5.56453709981594,2.43191850136047,"Logged-and-burned"
"PGM","202_13",0,"small",55,8.50687521625846,21.0847622019325,"Logged-and-burned"
"PGM","202_13",1,"small",41.1774017674203,6.81877035814499,7.40556314372893,"Logged-and-burned"
"PGM","202_13",2,"small",31.8674698795181,5.73757408047029,2.96036626457454,"Logged-and-burned"
"PGM","202_2",0,"small",48,8.68487638254971,20.4809842062802,"Logged-and-burned"
"PGM","202_2",1,"small",34.3639371971907,6.66753816698075,6.91388509174438,"Logged-and-burned"
"PGM","202_2",2,"small",25,5.4162496556582,2.75688532012246,"Logged-and-burned"
"PGM","235_1",0,"small",79,11.2537356323879,24.6016722955837,"Logged"
"PGM","235_1",1,"small",58.2773498436529,8.81999477444774,8.09217505005341,"Logged"
"PGM","235_1",2,"small",43.0503144654088,7.20141210071299,3.03761778272342,"Logged"
"PGM","235_3",0,"small",55,8.64287728184934,21.1784887858057,"Logged-and-burned"
"PGM","235_3",1,"small",29.292510339438,5.47491858532955,6.22974474404008,"Logged-and-burned"
"PGM","235_3",2,"small",15.1800878477306,3.87263963354238,2.59768200148376,"Logged-and-burned"
"PGM","235_4",0,"small",60,9.5227671379379,24.5061133704086,"Secondary forest"
"PGM","235_4",1,"small",42.5803306684925,6.93688147429359,7.50924137588231,"Secondary forest"
"PGM","235_4",2,"small",32.2544642857143,5.64137304125898,2.73213360739498,"Secondary forest"
"PGM","235_5",0,"small",26,4.25358841672992,11.172742616594,"Secondary forest"
"PGM","235_5",1,"small",8.60370495588609,2.43767270057981,3.48342569771098,"Secondary forest"
"PGM","235_5",2,"small",5.32264063226406,2.07195126748572,2.18956738997118,"Secondary forest"
"PGM","245_11",0,"small",53,8.09492126923071,20.2372300045092,"Logged-and-burned"
"PGM","245_11",1,"small",38.9742045723313,6.17689993533827,7.7752211865406,"Logged-and-burned"
"PGM","245_11",2,"small",29.3435114503817,5.03683046908292,3.18467860922184,"Logged-and-burned"
"PGM","245_2",0,"small",79,10.3024063648402,23.4457769791012,"Logged"
"PGM","245_2",1,"small",57.8387413569481,7.75511962262239,7.19045515332726,"Logged"
"PGM","245_2",2,"small",39.2638036809816,5.97334279887709,2.73560817641918,"Logged"
"PGM","245_4",0,"small",44,7.33109373331425,17.3270874164891,"Logged"
"PGM","245_4",1,"small",32.0016634418935,5.76305218527391,7.00815141862571,"Logged"
"PGM","245_4",2,"small",23.1800766283525,4.76049876399721,3.20499931218841,"Logged"
"PGM","245_5",0,"small",50,7.77145206153411,18.9457971667223,"Logged"
"PGM","245_5",1,"small",32.9659858273773,5.58116653567947,5.94377893819169,"Logged"
"PGM","245_5",2,"small",21.0199004975124,4.24704812298619,2.50788675972633,"Logged"
"PGM","245_6",0,"small",75,10.3262739935497,24.5086465424251,"Logged"
"PGM","245_6",1,"small",55.8728198105762,7.74313599804774,7.17105571584884,"Logged"
"PGM","245_6",2,"small",39.2128712871287,5.82942283443745,2.76675270815397,"Logged"
"PGM","245_7",0,"small",41,7.14613311946032,17.881051471795,"Secondary forest"
"PGM","245_7",1,"small",27.5854274083689,5.34259871711835,7.31627615022821,"Secondary forest"
"PGM","245_7",2,"small",19.4210526315789,4.35133531260197,3.27759960364546,"Secondary forest"
"PGM","245_8",0,"small",59,9.15504208853311,21.2175877412649,"Logged"
"PGM","245_8",1,"small",45.5236541522879,7.15457883893365,7.62377805425417,"Logged"
"PGM","245_8",2,"small",35.2708803611738,5.93847762213695,3.09877587453508,"Logged"
"PGM","245_9",0,"small",60,9.07391420532453,21.0795732238107,"Logged"
"PGM","245_9",1,"small",49.4757367614231,7.54930762521175,8.06823501483368,"Logged"
"PGM","245_9",2,"small",40.6633663366337,6.49371254250156,3.24265122053193,"Logged"
"PGM","269_1",0,"small",59,9.24878944434624,21.1206920301651,"Logged-and-burned"
